name,ds,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
10,3,42.0,57.20014812803207,43.6298076481918,39.0,55.8283243090633,45.320381852729085,3
10,4,42.0,57.20014812803207,43.6298076481918,38.0,55.828764158372486,45.863910471620926,4
10,5,42.0,57.20014812803207,43.6298076481918,37.0,56.035204112522095,46.12259659008808,5
10,6,42.0,57.20014812803207,43.6298076481918,36.0,56.62249716423118,46.499118671704046,6
10,7,42.0,57.20014812803207,43.6298076481918,35.0,56.88163808469809,46.83654253383938,7
10,8,42.0,57.20014812803207,43.6298076481918,34.0,57.27966492935385,47.16968482302111,8
10,9,42.0,57.20014812803207,43.6298076481918,33.0,57.33603882505562,47.63659127011798,9
10,10,42.0,57.20014812803207,43.6298076481918,32.0,58.16499849255825,48.61995220518849,11
1,11,46.0,66.03397914237736,48.1381308786394,35.0,67.53797997878021,55.84662238838925,15
1,12,46.0,66.03397914237736,48.1381308786394,34.0,68.4080460813843,57.027700319835084,17
1,13,46.0,66.03397914237736,48.1381308786394,33.0,66.68376612324514,55.39123699335187,17
1,14,46.0,66.03397914237736,48.1381308786394,32.0,68.11626236480458,57.98009528685041,20
1,15,46.0,66.03397914237736,48.1381308786394,31.0,69.73662064033955,60.100529082410375,23
2,11,37.0,51.696374610487844,41.38482205689579,26.0,55.5804522822626,48.9740165268656,16
2,12,37.0,51.696374610487844,41.38482205689579,25.0,65.53887094618935,58.55683485351145,27
2,13,37.0,51.696374610487844,41.38482205689579,24.0,63.51031336066918,57.018587106129644,26
2,14,37.0,51.696374610487844,41.38482205689579,23.0,72.097727208068,65.76166756886553,36
2,15,37.0,51.696374610487844,41.38482205689579,22.0,75.36597275614163,69.90731475139039,41
3,11,41.0,60.25122092326308,46.34706838759306,30.0,63.948680038371556,55.93073657234122,19
3,12,41.0,60.25122092326308,46.34706838759306,29.0,65.19390885042023,57.91993640579346,22
3,13,41.0,60.25122092326308,46.34706838759306,28.0,70.67308884992538,64.00466721526806,29
3,14,41.0,60.25122092326308,46.34706838759306,27.0,72.89460298182486,66.09543305954625,32
3,15,41.0,60.25122092326308,46.34706838759306,26.0,74.25628151817217,67.149255105889,34
4,11,33.0,49.6371471606993,36.977233278263476,22.0,69.32168553415033,64.09342568981725,35
4,12,33.0,49.6371471606993,36.977233278263476,21.0,72.25442298485106,67.05571823836429,39
4,13,33.0,49.6371471606993,36.977233278263476,20.0,79.4873752072136,74.40712059835266,47
4,14,33.0,49.6371471606993,36.977233278263476,19.0,85.31145545308804,80.47117592680283,54
4,15,33.0,49.6371471606993,36.977233278263476,18.0,94.0543544225883,89.58811276196587,64
5,11,45.0,66.01238289473979,49.87241987639291,34.0,66.31685583055281,57.0990122686986,17
5,12,45.0,66.01238289473979,49.87241987639291,33.0,66.70669548648013,57.526714722885096,18
5,13,45.0,66.01238289473979,49.87241987639291,32.0,67.79279818263925,58.54834921821374,20
5,14,45.0,66.01238289473979,49.87241987639291,31.0,68.83098827832012,59.53334436424026,22
5,15,45.0,66.01238289473979,49.87241987639291,30.0,72.77732309517171,64.90071478426333,28
6,11,30.0,44.61409871611639,34.376168646405404,19.0,73.89637209400018,68.86484994828785,43
6,12,30.0,44.61409871611639,34.376168646405404,18.0,77.43769020188125,73.30269267614754,48
6,13,30.0,44.61409871611639,34.376168646405404,17.0,83.31215580248039,79.47787361033147,55
6,14,30.0,44.61409871611639,34.376168646405404,16.0,90.48623873913206,86.67367774914436,63
6,15,30.0,44.61409871611639,34.376168646405404,15.0,96.30675860669568,93.00092136075506,70
7,11,38.0,54.259542434503,42.36993467098924,27.0,59.96484335245614,53.21548197828801,20
7,12,38.0,54.259542434503,42.36993467098924,26.0,60.84954232033445,53.66964105953711,21
7,13,38.0,54.259542434503,42.36993467098924,25.0,62.424923039505984,55.67220880293654,24
7,14,38.0,54.259542434503,42.36993467098924,24.0,66.31139388064253,60.03665945870823,29
7,15,38.0,54.259542434503,42.36993467098924,23.0,68.91254170664257,63.071851584147396,33
8,11,37.0,52.49405923392165,41.18055592357492,26.0,61.77701735060011,55.35411020356011,23
8,12,37.0,52.49405923392165,41.18055592357492,25.0,64.22574289607248,58.65586401070274,27
8,13,37.0,52.49405923392165,41.18055592357492,24.0,66.02672820344758,60.74176585003926,30
8,14,37.0,52.49405923392165,41.18055592357492,23.0,71.21403745705891,65.94396974969678,36
8,15,37.0,52.49405923392165,41.18055592357492,22.0,72.53374046768113,66.94746029581819,38
9,11,38.0,53.51570282957175,42.1628236821147,27.0,62.852572693323054,55.05034710687393,22
9,12,38.0,53.51570282957175,42.1628236821147,26.0,63.880603980224336,56.32285732605478,24
9,13,38.0,53.51570282957175,42.1628236821147,25.0,67.0797371321396,60.64235032291415,29
9,14,38.0,53.51570282957175,42.1628236821147,24.0,71.16476835552427,65.37297468593803,35
9,15,38.0,53.51570282957175,42.1628236821147,23.0,76.67443919510143,70.87756397600674,41
10,11,42.0,57.20014812803207,43.6298076481918,31.0,58.18736218900329,49.44015772155981,13
10,12,42.0,57.20014812803207,43.6298076481918,30.0,61.06419571990181,51.89457095398113,16
10,13,42.0,57.20014812803207,43.6298076481918,29.0,60.06300922746883,50.79230655815252,16
10,14,42.0,57.20014812803207,43.6298076481918,28.0,65.5580378629378,57.340223794910145,23
10,15,42.0,57.20014812803207,43.6298076481918,27.0,64.31000417491822,56.043359235005724,23
