name,iters,id,sc,tc,rwc
finetune,10,82,23.0,33.37867400263538,27.534560664083912
finetune,10,83,24.0,33.33276573780393,27.748680673086824
finetune,10,84,24.0,33.28280516062767,27.77710703755618
finetune,10,85,24.0,33.308772497740705,28.074680163708056
finetune,10,86,24.0,33.28184516421361,27.69369925653776
finetune,10,87,25.0,33.200673591810016,28.422108644647647
finetune,10,88,24.0,33.37625644186809,27.775034234822684
finetune,10,89,24.0,33.5878865673107,28.26384294465896
finetune,10,90,24.0,33.082317880994204,28.078955618566486
finetune,10,91,23.0,33.354873957876464,27.447500379050556
finetune,10,92,24.0,33.25275414626821,28.020013970249135
finetune,10,93,24.0,32.994365119154644,28.274720890271247
finetune,10,94,24.0,33.701461166777285,27.977728051601897
finetune,10,95,23.0,33.666995385647496,27.649304062860853
finetune,10,96,24.0,33.14692540512897,28.181585750366274
finetune,10,97,24.0,33.95842344471368,28.04424017624977
finetune,10,98,24.0,32.92417641437526,28.077431744269067
finetune,10,99,24.0,32.90575580345396,28.459534581757854
finetune,10,100,24.0,33.077355593480334,27.740305645849194
finetune,20,1,24.0,33.27591373694373,27.667565413486297
finetune,20,2,23.0,33.35796730417501,27.196154343477943
finetune,20,3,23.0,32.8514258635938,27.500977290608308
finetune,20,4,24.0,33.597973834483916,27.352196040417155
finetune,20,5,23.0,32.907349353742305,27.470964699759023
finetune,20,6,24.0,33.20799795805047,27.813017373856095
finetune,20,7,23.0,33.337035199596635,26.998151195523175
finetune,20,8,23.0,33.6096350850133,27.23129779651848
finetune,20,9,24.0,33.46918474084964,27.125134645037118
finetune,20,10,24.0,33.94240620725994,28.0136370890122
finetune,20,11,23.0,33.31072074345296,27.290781206654767
finetune,20,12,23.0,32.83583620420595,27.188108452233692
finetune,20,13,23.0,33.37430165913574,27.411578829910805
finetune,20,14,23.0,33.01261514188888,27.031989072400698
finetune,20,15,24.0,33.21936039388231,28.061272147855657
finetune,20,16,23.0,33.381215368267696,27.266222568604086
finetune,20,17,25.0,33.52471896793743,27.98739920612878
finetune,20,18,24.0,33.51605481120692,27.37230031939656
finetune,20,19,23.0,33.366405148150186,27.24492725424715
finetune,20,20,24.0,33.442153938029236,27.98224810584726
finetune,20,21,24.0,33.992669591366905,27.85099467573365
finetune,20,22,24.0,33.9770825436979,27.62173327591478
finetune,20,23,23.0,32.78893402772549,27.327108625500532
finetune,20,24,23.0,33.29459318402676,27.077669672471593
finetune,20,25,24.0,33.71824547025164,28.337866393288913
finetune,20,26,23.0,33.64422459492451,27.28739921275982
finetune,20,27,24.0,33.23058730315158,27.742195899372966
finetune,20,28,24.0,33.565220110844365,27.164777244730157
finetune,20,29,23.0,33.637999125231566,27.309448554454796
finetune,20,30,24.0,33.55687934941778,27.325448468934304
finetune,20,31,24.0,33.40036032750028,27.82050072585654
finetune,20,32,23.0,33.29800262635362,26.8159356479662
finetune,20,33,24.0,33.57383834392728,27.31738179241939
finetune,20,34,23.0,33.592772575106544,27.847816532057543
finetune,20,35,24.0,32.99493044835706,27.59076043012971
finetune,20,36,23.0,33.29417663585165,26.979953985183347
finetune,20,37,23.0,33.33986842747008,27.261500090816444
finetune,20,38,24.0,32.782548657445616,28.056921835416823
finetune,20,39,24.0,33.38429726589793,27.410308190136785
finetune,20,40,23.0,33.63570785127637,27.356764218092238
finetune,20,41,24.0,33.535574964786484,27.594750228676276
finetune,20,42,24.0,33.3540810989974,27.60995374053028
finetune,20,43,23.0,33.360495571598705,27.241069725028535
finetune,20,44,23.0,33.343356708762755,26.87559130983734
finetune,20,45,23.0,33.36989162810625,27.054550778048387
finetune,20,46,23.0,33.3403818240987,27.438585363460383
finetune,20,47,23.0,33.341789362971916,27.0503376189512
finetune,20,48,24.0,33.32253636279229,27.816212929060633
finetune,20,49,23.0,33.27778378637001,27.36077090444769
finetune,20,50,23.0,33.693049187348365,27.47875270409348
finetune,20,51,23.0,34.01827016443549,27.049340512820127
finetune,20,52,23.0,33.30360027266354,27.21123782265077
finetune,20,53,23.0,33.40892845960006,27.353369866072747
finetune,20,54,24.0,33.06941463196073,27.90874225045244
finetune,20,55,24.0,33.322125373177535,27.40976566396676
finetune,20,56,23.0,33.37743003415504,27.12136003477195
finetune,20,57,24.0,33.01101931774679,27.74206398019927
finetune,20,58,24.0,33.30973959365571,27.534216598625495
finetune,20,59,23.0,33.35312140944665,27.33416813200178
finetune,20,60,24.0,33.512144599635114,27.469371999017103
finetune,20,61,23.0,33.30788787976618,27.35145773534268
finetune,20,62,24.0,33.93425337635536,27.631374715074763
finetune,20,63,23.0,33.32949516930862,27.12149394534932
finetune,20,64,24.0,33.838653351201906,27.318820282479507
finetune,20,65,24.0,33.79199976007853,27.206177358280197
finetune,20,66,23.0,33.347192759250134,26.97093163188714
finetune,20,67,23.0,33.51147065028541,27.148816378665074
finetune,20,68,23.0,33.650534044557126,27.579617789732275
finetune,20,69,23.0,33.324133868001354,27.239256601448087
finetune,20,70,24.0,33.840795124945934,27.71692343770104
